id,zotero_link,year,title
58,ZZ5ACP74,2015,"Cultures at the Crossroads: Art, Religion, and Interregional Interaction in Central Mexico, AD 600-900"
59,XZPVKGWA,2013,Possible Migrations and Shifting Identities in the Central Mexican Epiclassic
60,5ZT27ZC2,2012,Human Sacrifice During the Epiclassic Period in the Northern Basin of Mexico
61,M55FI6UZ,2021,"Migration, violence, and the “other”: A biogeochemical approach to identity-based violence in the Epiclassic Basin of Mexico"
62,ZTPKNNQ8,2010,"Xochicalco (Morelos, Mexico)"
63,NE95PSQP,2022,States and Nature: The Effects of Climate Change on Security
64,JCYPEVYB,2022,Exceeding 1.5°C global warming could trigger multiple climate tipping points
65,PGY5Q7DK,2022,Political Equality: What Is It and Why Does It Matter?
66,JREKMVYV,2021,"A Moral Political Economy: Present, Past, and Future"
67,DS4MS42I,2013,“Benin Kingdom: Nineteenth Century”
68,IX4D27N4,2016,"“Benin (Edo city-state)"""
69,IHSMNF84,2010,Igbo Culture and the Christian Missions 1857-1957: Conversion in Theory and Practice
70,8P5P7SD2,0,Data on France | Reconstructing Global Inequality
71,I4SLLVVV,0,Data on Netherlands | Reconstructing Global Inequality
72,T5JK8F5R,0,Data on Argentina | Reconstructing Global Inequality
73,G5IDSYRU,0,Data on Peru | Reconstructing Global Inequality
74,GBSNG3WM,2020,Religious Ethics: Meaning and Method
75,ZT5B8T3B,0,Data on Iran | Reconstructing Global Inequality
76,5QXXL37X,0,Data on Spain | Reconstructing Global Inequality
77,9DPFMY2T,0,Data on Mexico | Reconstructing Global Inequality
78,PS323AAL,0,Data on Austria | Reconstructing Global Inequality
79,TVARWQLR,0,Data on Russia | Reconstructing Global Inequality
80,SBRRD65N,0,Data on United States | Reconstructing Global Inequality
81,DUNUQFJI,0,Male life Expectancy at Birth | Clio Infra | Reconstructing Global Inequality
82,MVLHYSNV,0,Female life Expectancy at Birth | Clio Infra | Reconstructing Global Inequality
83,4AECVKW8,1966,The Oyo Empire in the 18th Century - A Reassessment
84,HI6VDIF2,2020,Estimating stature of Anatolian Populations from Neolithic Period to Ottoman Period. HS Kıroğlu (Ed.) içinde
85,ER8893R3,1994,Rival Empires: Islam and the Religions of Spirit Possession among the Oyo-Yoruba
86,UX8DF44Y,2006,Paleodemography of a medieval population in Japan: analysis of human skeletal remains from the Yuigahama-minami site
87,SPK4466C,2016,Religious Diversity
88,QRP8VAFD,2008,A Social-Cultural Analysis of Celibacy among the Yoruba: Oyo Alafin's Servants as a Case Study
89,9M9DQAFI,2019,Daily Life in Medieval Japan
90,X83X28SN,2009,Alafin of Oyo
91,X8RGRNS8,1992,Theodoric in Italy
92,PVJW7HE5,2013,The Demography of Roman Italy: Population Dynamics in an Ancient Conquest Society 201 BCE – 14 CE
93,NG9ZRZX3,1999,Factors Contributing to the Survival of The Bori Cult in Northern Nigeria
94,7PAG8M4H,2002,Islamic Law as Customary Law: The Changing Perspective in Nigeria
95,M9VVHTI2,2022,Geographic latitude and human height - Statistical analysis and case studies from China
96,BZ3FI3NU,2018,"Trade and Religion in British-Benin Relations, 1553-1897."
97,6F2IFDUB,2017,A History of the Application of Islamic Law in Nigeria
98,C5T2ZNTS,2009,The Mexican Wars for Independence
99,VXK9TRRE,1997,Wars of Independence
100,6MAC5IWD,1981,"The Army of New Spain and the Wars of Independence, 1790-1821"
101,NUHVGXN8,2017,"Exile, Imprisonment, or Death: The Politics of Disgrace in Bourbon France, 1610-1789"
102,7WBZC7PG,2006,Theodoric the Goth: The Barbarian Champion of Civilization
103,498RBU3V,2017,"The Russian Revolution, 1917"
104,FM6API2R,0,"Romanov dynasty | Definition, History, Significance, & Facts | Britannica"
105,ISC2ISRK,1993,"The origins of the Russian Revolution, 1861–1917"
106,VVHMQG4F,0,Vasily II
107,H4GZHTCM,0,American Civil War
108,JZSBPNMG,2010,"Chapter 2 - Optimal Distinctiveness Theory: A Framework for Social Identity, Social Cognition, and Intergroup Relations"
109,WZAFUZ2U,2018,"Empirical Regularities across Time, Space, and Culture: A Critical Review of Comparative Methods in Ancient Historical Research"
110,CVPIHVFJ,1991,Maori Religion
111,MKL2HYF8,2005,How trade saved humanity from biological exclusion: an economic theory of Neanderthal extinction
112,RUGHNGSM,2006,A Greek Roman Empire : power and belief under Theodosius II (408/450)
113,BTH4V867,2022,Does loving a group mean hating its rivals? Exploring the relationship between ingroup cohesion and outgroup hostility among soccer fans
114,EF7U7S6V,2022,Governance Strategies in Precolonial Central Mexico
115,Y93UXUHN,2022,"The Foundation of Monte Albán, Intensification, and Growth: Coactive Processes and Joint Production"
116,R5HANUH8,2022,"Complexity, Cooperation, and Public Goods: Quality of Place at Nixtun-Ch'ich', Petén, Guatemala"
117,3QTF6A2W,2022,Of Revenue Without Rulers: Public Goods in the Egalitarian Cities of the Indus Civilization
118,B9K4D9T9,2022,"Editorial: Origins, foundations, sustainability and trip lines of good governance: Archaeological and historical considerations"
119,MM6AEU7H,2020,REACHES Chinese Historical Climate Database Qing Dynasty Drought Series
120,K7MN6B4W,1985,Mission and Conversion: Proselytizing in the Religious History of the Roman Empire
121,737SA48T,2002,"Greed, generosity and gift-exchange in Early Greece and the Western Pacific"
122,45JV7LB6,2016,Xenia in Practice: From Homer’s Epics to Herodotus
123,XJ7ZUZKH,2012,Dangerous Gifts: Gender and Exchange in Ancient Greece
124,BRB4WF3B,1995,"Asian Capital in the Age of European Domination: The Rise of the Bazaar, 1800–1914"
125,P26VHN9W,2020,Informal social networks as intermediaries in foreign markets
126,NBF6UHK4,2014,"Religion and trade: Cross-cultural exchanges in world history, 1000-1900"
127,VNZGFQRA,2002,The Neo-Hittite City-States
128,I9A79BGB,1996,"Rise of the Bourgeoisie, Demise of Empire: Ottoman Westernization and Social Change"
129,ADQMAKPW,2020,The Yoruba: A New History
130,9NSV9UDH,2013,The Silk Road: A very short introduction
131,PW567TEZ,2022,Trade before Civilization: Long Distance Exchange and the Rise of Social Complexity
132,8JFVFFQ3,1938,"The Hawaiian Kingdom, Volume 1: 1778-1854 Foundation and Transformation"
133,3UP3P8VI,2015,"Empire by Collaboration: Indians, Colonists, and Governments in Colonial Illinois Country"
134,EE5222X9,1992,The Origins of the Thirty Years War and the Structure of European Politics
135,698A6NT3,2006,The Thirty Years' War
136,38TIQTZX,1987,"On Pagans, Jews, and Christians"
137,L8R9Z8CU,2021,A systematic global stocktake of evidence on human adaptation to climate change
138,Y2XWESRY,2021,Global evidence of constraints and limits to human adaptation
139,PX4C3IX3,2022,Applying Cultural Evolution to Address Climate and Environmental Challenges
140,CHGBCIDX,1943,The Religions of Nigeria
141,WTQL5ZXH,2013,Changing social contracts in climate-change adaptation
142,W3BPVVZA,2015,Personhood as History: Māori Conversion in Light of the Polynesian Iconoclasm
143,SDKTH88F,2014,Christianity Meets Igbo Traditional Religion
144,PNDU47TC,2014,Ofo na-Ogu and Mmanwu: Ritual Symbolism in the Interface of Igbo Indigenous Religion and Christianity
145,BEZMPDKS,2018,Nigeria:What Everyone Needs to Know
146,TFV3Q8QV,2007,Cultivated wetlands and emerging complexity in south-central Chile and long distance effects of climate change
147,FFHFAECU,2005,Distant Colonies and Explosive Collapse: The Two Stages of the Tiwanaku Diaspora in the Osmore Drainage
148,ZQVQPNSH,1979,The Sui Dynasty (581-617)
149,ZKKC4AGT,2020,Ranking the effectiveness of worldwide COVID-19 government interventions
150,4MCUMUWC,2021,A call for an international research program on the risk of a global polycrisis
151,WGBKYC4A,2020,The European Union Beyond the Polycrisis?: Integration and politicization in an age of shifting cleavages
152,5DFSDBJ9,1921,History of Mediaeval Hindu India
153,D7KWBHZ9,2020,The Making of the Indo-Islamic World: c.700–1800 CE
154,8AI38E4M,2003,"Al-Hind: the Making of the Indo-Islamic world, Volume III: Indo-Islamic Society, 14th–15th Centuries"
155,JR5XB8E6,2006,The Samma Kingdom of Sindh: Historical Studies
156,SPAEMDGB,1977,The Cambridge History of Islam
481,GE3635QM,2004,Islam in Iran
157,JSJ4H5A2,2006,The Samma Kingdom of Sindh: Historical Studies
158,5XFNE28H,2010,Living Islamic History: Studies in Honour of Professor Carole Hillenbrand
159,YPLLFSE6,2012,Cosmopolitanisms in Muslim Contexts: Perspectives from the Past
160,KZKE6DDZ,2005,Traditional Festivals: A Multicultural Encyclopedia
161,SJMERSST,1993,"Religion and society in Arab Sind. By Derryl N. Maclean. (Monographs and Theoretical Studies in Sociology and Anthropology in honour of Nels Anderson, No. 25.) pp. x, 191. Leiden etc., E. J. Brill, 1989. Dfl. 75, US $37.50."
162,I6ZH82VD,1984,Religion and Society in Arab Sind
163,MAU97UP9,1998,Constructing the Hindu Identity: European Moral and Intellectual Adventurism in 18th Century India
164,GKNTRDGG,1994,Mass Conversions to Hinduism among Indian Muslims
165,JAQKKSNT,2017,The Formation of Religious Identities in India
166,WNDBTEUT,2017,"Transition of Satra from a Venue of Bhakti Movement to
the Orthodox Brahmanical Institution"
167,PWPJ43RV,1981,Mughal State Finance and the Premodern World Economy
168,Q9VK55N3,2006,Two Nations and a Dead Body: Mortuarial Rites and Post-Colonial Modes of Nation-Making in South Asia
169,HVPA7KFZ,2011,Together but Separate: How Muslim Scholars Conceived of Religious Plurality in South Asia in the Seventeenth Century
170,UCGAQKRW,1982,Muslim Bengal and Pakistan
171,D9P5UP83,1979,The 'Great Firm' Theory of the Decline of the Mughal Empire
172,X6947DZM,2013,Silver Flow and Horse Supply to Sultanate Bengal with Special Reference to Trans-Himalayan Trade (13th–16th Centuries)
173,FMGETVF8,1983,The Ahom Political System: An Enquiry into the State Formation Process in Medieval Assam (1228–1714)
174,UWEC9IKJ,2010,Positions on Assam History
175,NEARRSZV,2010,Positions on Assam History
176,WP63C2CQ,2004,Islam in Bengal: Formative Period
177,R5SMI6TJ,2019,Neo-Vaishnavism in Sixteenth Century Assam: a Historical Study
178,MUNEGUI6,1977,Social and Economic Factors in the Rise of Buddhism
179,EW55ESED,2016,The Neo-Vaishnavism of Srimanta Sankaradeva: a Great Socio-cultural Revolution in Assam
180,3U6574PR,2013,"Goddess encounters: Mughals, Monsters and the Goddess in Bengal"
181,3UQBED87,2005,Ghurid Monuments and Muslim Identities: Epigraphy and Exegesis in Twelfth-century Afghanistan
182,TAQS4KFL,2019,India in the Persianate Age: 1000–1765
183,ZUICWJZW,1977,Muslim India Before the Mughals
184,C5BSUX8E,1961,The Early Islamic History of Ghūr
185,MJAJIR2W,1954,"History of the Afghans in India 1545–1631 AD, with Especial Reference to their Relations with the Mughals"
186,IIIW98S7,2005,History of Civilizations of Central Asia: Towards the Contemporary Period: From the Mid-nineteenth to the End of the Twentieth Century
187,SZ942HQB,2013,Ghurids 1009–1215
188,GG9WBHAI,0,Zhou Dynasty
189,LUEQFLN8,0,The genetic history of the Southern Arc: A bridge between West Asia and Europe
190,JGDBID5Q,2013,When the Greeks Converted the Buddha: Asymmetrical Transfer of Knowledge in Indo-Greek Cultures
191,FE8CZXAU,2014,"The Hellenistic Far East : Archaeology, Language, and Identity in Greek Central Asia"
192,ZBU8VQT8,1980,Shang Civilization
193,UNXGCB6H,2020,Ethiopia and the Horn of Africa
194,WRPWNCR9,2015,Bactria and India
195,3F29663X,2019,Anatomy and resilience of the global production ecosystem
196,BSPKTV3K,1986,The Age of the Crusades: The Near East from the Eleventh Century to 1517
197,BWRPUBTK,1992,The Historiography of Islam in Ethiopia
198,IPASBU9Z,2017,The Archaeology of Islamisation in Sub-Saharan Africa
199,KE4HD9UU,1993,Forests Of Gold: Essays On The Akan And The Kingdom Of Asante
200,4AF2WRGZ,2005,The History of Ghana
201,GMMSLTKG,2022,Flattening the Curve: Learning the lessons of world history to mitigate societal crises
202,9C4WVG4E,2021,Tempo and Mode in Cultural Macroevolution
203,FTZCNIGJ,2013,Ethiopia and the Red Sea: The Rise and Decline of the Solomonic Dynasty and Muslim European Rivalry in the Region
204,9ZMM8V48,2003,A History of the Roman People
205,IE4DWBAS,2022,Disentangling the evolutionary drivers of social complexity: A comprehensive test of hypotheses
206,E4TL39MM,2021,Disentangling the Evolutionary Drivers of Social Complexity in Human History: a Comprehensive Test of Hypotheses
207,VY3BNSJ3,2022,Testing the Big Gods hypothesis with global historical data: a review and “retake”
208,Y4VRG42C,0,The Classic Maya Collapse
209,UCJ4KHQD,0,Indigenous Urbanism in South-East Asia
210,C7F377TI,1986,Some Notes on Relations between Central and Local Government in Ancient Java
211,HCQCSJJ8,1970,Nan yang da xue xue bao
212,I7H2N6FU,1958,History of South India: From Prehistoric Times to the Fall of Vijayanagar
213,H28RCGKC,2010,Abbasid Dynasty
214,VXG6QRUW,2018,The Weapon of Blood: Politics and Intrigue at the Decline of Akkad
215,5EG397K9,2012,Time and Space Boundaries: Chronologies and Regions in Mesoamerica
216,WNBQTNP7,1988,India in the Age of the Nandas
217,89U3UKRQ,1984,Jainism in Ancient India
218,T4QJ84HB,1943,The History of Bengal: The Hindu Period
219,EAMVURAK,1989,History of Kanauj to the Moslem Conquest
220,GW4HUM7B,2022,Conflict Events Worldwide Since 1468BC: Introducing the Historical Conflict Event Dataset
221,LEGCYQPK,2022,Upscaling the resilience assessment through comparative analysis
222,QLMMMTB8,2021,"Patchwork Earth: navigating pathways to just, thriving, and sustainable futures"
223,8Z4M6V4H,2020,Panarchy: ripples of a boundary concept
224,VG8GLPJR,2019,Planning a Low-Carbon Energy Transition: What Can and Can’t the Models Tell Us?
225,GS5MJFT5,2022,Developing Transdisciplinary Approaches to Sustainability Challenges: The Need to Model Socio-Environmental Systems in the Longue Durée
226,WRGGDCF3,1992,Constitutional Revolution i. Intellectual background
227,WURJAK37,1995,"The Iranians : Persia, Islam and the Soul of a Nation"
228,4R2K2KRK,1988,"A History of Indian Logic: Ancient, Mediaeval, and Moderns Schools"
229,IN69359J,0,Fatḥ-ʿAlī Shah Qajar
230,SZ55UJPB,2022,"Macrohistorical and Evolutionary Dynamics of Between-Group Competition, Sociopolitical Complexity, and Differentiation-Integration Effects"
231,Q2U8TM7K,1999,The Seleucids: the Decline and Fall of their Empire
232,XT5IEBHJ,2022,UNIVERSALISM AND SYNCRETISM IN BENINESE VODÚN.
233,PVDZWH3V,1993,The Mughal Empire
234,XS6TWMZI,2021,"Religious Minorities as Victims of Poverty: Exploring the Socio-Economic Impediments behind Their Poor Economic Status in Kohat, Khyber Pakhtunkhwa-Pakistan"
235,B9AM5CUE,2013,"Time in Early Modern Islam: Calendar, Ceremony, and Chronology in the Safavid, Mughal and Ottoman Empires"
236,DD85U5M9,1946,HINDU-MUSLIM RELATION DURING THE MUGHAL PERIOD 1526 TO 1707 A. D.
237,MQAWGCQB,2017,Aurangzeb: The Life and Legacy of India's Most Controversial King
238,W5X9TKB9,2018,"Reading History with the Tamil Jainas: A Study on Identity, Memory and Marginalisation"
239,RBZCU8KV,2012,Religious Ecology and the Study of Religions
240,G3DBGKF9,2011,Tantric Temples: Eros and Magic in Java
241,BWC6CGC7,1996,Archaic Roman Religion
242,ZTDP5R2Q,1877,An Account of the Island of Bali
243,GWF5E2JV,1954,"History of the Afghans in India 1545–1631 AD, with Especial Reference to their Relations with the Mughals"
244,JB8CCJKK,2010,Contesting Identities in Bangladesh: A Study of Secular and Religious Frontiers
245,F75N6CJR,1976,Review of West African Food in the Middle Ages
246,6NXVWHDK,1994,"History of Civilizations of Central Asia: The Development of Sedentary and Nomadic Civilizations, 700 B.C. to A.D. 250"
247,XUMRVQI6,2000,"History of Civilizations of Central Asia: The Age of Achievement, A.D. 750 to the End of the Fifteenth Century; Pt. II: the Achievements"
248,C7WCDV67,1998,"History of Civilizations of Central Asia: The Age of Achievement, A.D. 750 to the End of the Fifteenth Century; Pt. I: the Historical, Social and Economic Setting"
249,DDUUBUEV,2003,"History of Civilizations of Central Asia: Development in Contrast, From the Sixteenth to the Mid-Nineteenth Century"
250,2NCJW44H,1999,The Dharma of Islam and the Dīn of Hinduism: Hindus and Muslims in the Age of Śivājī
251,WZQEW6RZ,2011,Special Issue: Religious Studies in South Asia: The Dhaka Initiative
252,G69TQP6H,2016,After Teotihuacan: A View of Collapse and Reorganization from the Southern Basin of Mexico
253,K48BRIMQ,2012,Teotihuacan and the Epiclassic in Central Mexico
254,2WJD9XPZ,1989,Biswa Singha: Foundation of the Koch Kingdom
255,UFZ2JWS8,1996,"The Rise of Islam and the Bengal Frontier, 1204–1760"
256,I7HSKHZ2,2011,Historical Overview of Religious Pluralism in Bengal
257,JZSHJW8U,2018,Bangladesh: From A Nation To A State
258,JD6ZB9SG,2009,A History of Bangladesh
259,MW6J4P5A,2003,The Courts of Pre-Colonial South India: Material Culture and Kingship
260,V5Q4ZI4B,2010,The Religions of India: A Concise Guide to Nine Major Faiths
422,7QRXKEUC,2014,Mamluk ‘Askari 1250-1517
261,JMZ25ZBV,2008,The Cambridge History of Japan. Volume 2: Heian Japan
262,K6KTN2FR,1958,A History of Japan to 1334
263,V5MFXGCG,1961,"A History of Japan, 1334–1615"
264,Q5L9M8GV,0,Muromachi Period (1392–1573) | Essay | The Metropolitan Museum of Art | Heilbrunn Timeline of Art History
265,KNFTGRAM,2007,The History of Africa: The Quest for Eternal Harmony
266,BVXZLCHQ,0,Ancestral Pueblo culture
267,GB3X6QCR,0,History & Culture - Chaco Culture
268,4XK37BHH,2015,Temple Administration in Tamilnadu: A Colonial Legacy
269,CFTQXUGB,2009,The Aztecs
270,LL9PID74,2015,"Cooperation and tensions in multiethnic corporate societies using Teotihuacan, Central Mexico, as a case study"
271,5QPZBX4R,2010,Teotihuacán: Sacred Landscape
272,KTNLRK2A,2013,"Taming Time, Timing Death: Social Technologies and Ritual"
273,ZCGACQTM,2010,Teotihuacan: Religion and Deities
274,SHRN5ASD,2020,Why class formation occurs in humans but not among other primates
275,6C2CPHNE,2002,Living with the Ancestors and Offering to the Gods Domestic Ritual at Teotihuacan
276,WVEHV2M9,2004,Mataram
277,ZCDV8AFE,2006,Archaeology: Indonesian Perspective : R.P. Soejono's Festschrift
278,MFHIXTGC,1986,"The Mexican Revolution, Volume 1: Porfirians, Liberals, and Peasants"
279,HNPTT8ZZ,1991,"The Mexican Revolution, 1910-1920: Mexico Since Independence"
280,9QT2JRXR,1981,"The Secret War in Mexico: Europe, the United States, and the Mexican Revolution"
281,PSERXVCV,2017,Ancient religious artworks in Central Java (8th–10th century AD)
282,INP4GJPJ,2008,"Country Priests, Catechists, and School Masters as Cultural, Religious, and Social Middlemen in the Context of the Tranquebar Mission"
283,XZ386M9Z,1989,Islam and State Power in Pre-Colonial South India
284,D6MQXIMH,2015,"Teotihuacan: Ritual Economy, Exchange, and Urbanization Processes in Classic Period Mesoamerica"
285,Q7RS646X,1979,Cambridge Medieval History: The Later Roman Empire to the Twelfth Century. Volume 1
286,N9KJK895,2008,The Buddhist Temples of the Śailendra Dynasty in Central Java
287,NVK2U3GA,2016,Central Javanese Empire (Early Mataram)
288,QBI3XP89,2019,"Temple Occupation and the Tempo of Collapse at Angkor Wat, Cambodia."
289,5N8CEX67,2009,The History of Cambodia
290,D6HGQZ9R,2013,The economic conditions of the Dambadeniya period as depicted by the Royal Donations to the Buddhist Sangha
291,KWR3R7US,2020,Religion in India : Past and Present
292,BMIEUVTP,2000,Mahajanapada States of Early Historic India
293,7JJVM5JP,2007,The Teotihuacan Trinity: the Sociopolitical Structure of an Ancient Mesoamerican City
294,6T732EP5,1993,"Worldview Materialized in Teotihuacan, Mexico"
295,CWMUHU94,2017,"TOLLAN TEOTIHUACAN Multiethnic Mosaics, Corporate Interaction, and Social Complexity in Mesoamerica"
296,JP3MRGBQ,2015,Teotihuacan: an early urban center in its regional context
297,7FHRU9K9,2013,Remaking the Past: Tamil Sacred Landscape and Temple Renovations
298,ZQPWSUPQ,2011,Chittirai Festival
299,P32MMA9M,1987,Madurai: Koyil Nakar
300,DS8H38U3,2014,The Basin of Mexico
301,G432N7WK,2017,A Global History of Architecture
302,VJRWI8DR,1991,History of the Nayaks of Madura
303,PJ4BY7CA,1816,"Travels in the interior districts of Africa : performed in the years 1795, 1796, and 1797. With an account of a subsequent mission to that country in 1805"
304,EZQW6LWB,1986,"Islam in the Banamba Region of the Eastern Beledugu, C. 1800 to C. 1900"
305,5NUL7R4R,2022,Testing the Big Gods hypothesis with global historical data: a review and “retake”
306,VS6LTJ7D,2021,Rise of the war machines: Charting the evolution of military technologies from the Neolithic to the Industrial Revolution
307,YTS8DAT3,2022,Explaining the rise of moralizing religions: a test of competing hypotheses using the Seshat Databank
308,G397KJFR,2006,Theravada Buddhism: A Social History from Ancient Benares to Modern Colombo
309,5GBCUTGG,2016,RELIGIOUS CONDITION IN SECOND PANDYAN EMPIRE
310,6W89QIMU,2012,The Saint in the Banyan Tree: Christianity and Caste Society in India
311,H5PRQ47A,2004,Royal Patronage to Isalm in Tanjore Maratha Kingdom [As Gleaned from Modi Records]
312,TRU2UPJU,2022,Mestnichestvo
313,WZCBB2RP,1999,"The History of Government from the Earliest Times. Volume III: Empires, Monarchies and the Modern State"
423,3EM83PR6,2003,Angkor and the Khmer civilization.
314,U6X3UXCH,1997,The History of Government from the Earliest Times. Volume I: Ancient Monarchies and Empires.
315,GZDSRZ5U,2017,The Fatimid Empire
316,FZHNVFHW,1995,The Nayaks of Tanjore
317,SDE62U3U,2022,"Contest for Egypt: The Collapse of the Fatimid Caliphate, the Ebb of Crusader Influence, and the Rise of Saladin"
318,DEQWKPKU,2020,Politics and Government in Byzantium: The Rise and Fall of the Bureaucrats
319,QE6DCNW3,1957,Byzantium: Greatness and Decline
320,GEPKJ6GU,1999,"The History of Government From the Earliest Times. Volume II:
The Intermediate Ages"
321,RT4LKPS8,1973,Ancient Ghana and Mali
322,AMCFGS6W,1989,"African states and rulers : an encyclopedia of native, colonial and independent states and rulers past and present"
323,AWZQQP73,2017,PRE-COLONIAL WEST AFRICA: THE FALL OF SONGHAI EMPIRE REVISITED
324,RN82TTCZ,2018,"The Empire of Songhay, 1375-1591: Memory and Heritage of a Glorious Past [A Historiographical Essay]"
325,6KZY3ZMU,1999,"Timbuktu and the Songhay Empire: Al-Saʻdi's Taʼrīkh Al-Sūdān Down to 1613, and Other Contemporary Documents"
326,ZJNVNQSW,2018,Reconstruction: A Concise History
327,U8CQCSKG,2006,The Gilded Age and Progressive Era: A Student Companion
328,9Z4A4AG3,1983,The Ulus Chaghatay Before and After Temur's rise to Power: The TRansformation from Tribal Confederations to Army of Conquest
329,AP6P52HE,1911,Austria-Hungary
330,9988VFSE,2018,"The Cambridge History of China: Volume 5, Sung China, 960–1279 AD, Part 2"
331,WN3JCFXA,1962,"Daily life in China, on the eve of the Mongol invasion, 1250-1276"
332,IGEXIDUF,2016,Jerome of Prague and the Foundations of the Hussite Movement
